Date,Akagera STD,OLD MUTUAL,Virunga Lodge HP POC,BK HQ,BK HP II,Mille Collines,Akagera HP,Starbucks,Question Coffee,Hotel Talent Pool,Old Mutual,Kiss FM,Royal FM,AVIPRO,Prime Insurance,Kivu Noir Cafe,Jibu,WiredIn,Alliance for Healthy Communities,AmaliTech,Tropical Plaza,Hill View Hotel,Caferwa - Kivu Noir KSEZ
13-Mar,9.9,130,12,50,41,0,90,39,47,16,130,16,68,28,39,5.4,94,18,,,,,
14-Mar,19,71,7.3,42,25,0,80,40,42,17,71,25,98,26,63,6.1,64,15,,,,,
15-Mar,12,19,6.1,0,0,0,24,5.7,17,6.6,19,14,97,0.1,13,8.5,0.4,0.1,,,,,
16-Mar,9.7,7.2,3.2,0,0,0,27,13,19,35.9,7.2,5.8,19,0.1,8.6,9.5,0.5,0.8,,,,,
17-Mar,18,96,3.2,56,29,0,176,32,35,62,96,35,61,22,63,20,20,22,,,,,
18-Mar,8.4,73,6.3,48,46,0,74,33,54,73,73,26,78,28,9.1,30,27,50,,,,,
19-Mar,13,61,9.1,35,31,0,73,38,52,49,61,29,86,31,0,20,19,31,,,,,
20-Mar,12,82,5,37,33,0,91,15,45,34,82,28,64,20,0,8.8,16,24,,,,,
21-Mar,7.8,100,6,43,27,0,32,42,9,74,100,41,43,30,0,5.8,19,28,,,,,
22-Mar,8,9.2,3,43,4,0,32,10,38,67,9.2,4.8,38,0.1,0,7.4,0.8,0.6,,,,,
23-Mar,16,5.7,7,43,2.6,0,21,16,12,72,5.7,7,16,0.1,0,8,0.8,0.1,,,,,
24-Mar,7.9,100,2.5,43,25,0,121,38,26,48,100,27,60,25,0,9.3,30,21,,,,,
25-Mar,8.6,78,2.8,43,26,0,73,30,48,55,78,30,55,44,0,19,29,26,,,,,
26-Mar,26,73,5.3,29,37,0,135,44,34,30,73,39,22,25,0,7.8,38,24,,,,,
27-Mar,13,55,3.4,44,48,0,91,30,35,63,55,36,56,35,0,12,26,23,,,,,
28-Mar,10,67,5.4,78,55,0,102,36,52,61,67,31,59,30,0,18,33,35,,,,,
29-Mar,11,17,6.2,0.6,0.5,0,29,14,11,69,17,8.3,2.3,3.5,0,6,0.2,0.7,,,,,
30-Mar,11,6,3.8,0,0,0,17,6.6,26,60,6,5.7,7.1,3.6,0,0.1,2.7,0.1,,,,,
31-Mar,10,12,6.1,0,0,0,16,11,17,58,12,28,45,3.5,0,24,0.5,0.1,,,,,
1-Apr,15,91,14,62,47,0,101,34,42,46,91,27,27,42,116,10,36,40,,,,,
2-Apr,11,80,7.2,32,34,0,93,31,37,62,80,40,20.1,21,120,10,35,30,,,,,
3-Apr,13,59,4.7,32,37,0.4,108,33,25,61,59,32,51,23,105,21,23,22,,,,,
4-Apr,17,85,2.8,30,29,2.1,75,47,38,72,85,37,27,30,113,16,23,11,,,,,
5-Apr,14,13,0.7,0,0,0,45,7.7,29,63,13,15,15,5.6,28,21,1.5,0.2,,,,,
6-Apr,9.4,3.4,0.8,0,0,0,26,7.3,16,89,3.4,5.2,14,3.4,8.3,34,0.6,0.7,,,,,
7-Apr,9.5,7,0.4,0,0,0,32,9.9,0.8,41,7,9.5,21,4.7,18,2.8,14,0.1,,,,,
8-Apr,21,75,3.8,40,51,0,146,51,33,45,75,18,18,39,117,45,33,41,,,,,
9-Apr,17,70,1.8,44,49,0,119,43,37,117,70,33,15,41,80,65,27,40,,,,,
10-Apr,13,71,6.7,44,45,0,80,33,24,128,71,17,22,27,56,57,25,19,0,0,0,,
11-Apr,19,84,10,20,18,0,106,23,35,62,84,11,14,27,42,37,15,88,0,0,0,,
12-Apr,12,11,3.9,1.2,0.3,0,42,6.9,18.9,78,11,3.9,6.7,7.9,4.9,36,0.2,0.1,0,0,0,,
13-Apr,11,6.1,4.8,0,0,0,20,9,12,100,6.1,3.7,5.8,1.4,1.6,66,0.8,0.8,0,0,0,,
14-Apr,14,83,2.5,46,51,0,127,35,34,121,83,24,26,32,51,59,25,28,1.4,0,0,,
15-Apr,13,96,1.2,41,40,0,83,73,34,147,96,26,68,37,43,36,15,23,19,0,0,,
16-Apr,14,81,2.2,50,60,0,75,53,37,84,81,25,28,23,42,39,25,24,24,0,0,,
17-Apr,18,82,2.6,45,42,0,75,45,33,81,82,21,40,40,55,58,17,48,50,0,0,,
18-Apr,18,6,2.7,0.6,1.1,0,39,9.3,16,93,6,27,37,0,3.5,63,0.6,0.1,4.4,0,0,,
19-Apr,11,7.8,6.6,0,0,0,33,17,42,106,7.8,4.3,7.4,0,4.2,51,0.1,0.5,3,0,0,,
